date,school,reservation_theorique
2025-12-01,AKIRA KUROSAWA,92
2025-12-01,ALAIN SAVARY,138
2025-12-01,ALBRECHT,74
2025-12-01,ANDRE BOULLOCHE,32
2025-12-01,ANDRE MALRAUX,238
2025-12-01,ANTOINE BALARD,68
2025-12-01,AQUITAINE,80
2025-12-01,ARISTOTE,69
2025-12-01,AUBIGNE,119
2025-12-01,AUBRAC,54
2025-12-01,AUGUSTE COMTE,51
2025-12-01,AVERROES,49
2025-12-01,BENOITE GROULT,220
2025-12-01,BERGMAN,54
2025-12-01,BLAISE PASCAL,94
2025-12-01,BON,80
2025-12-01,BOUCHER,89
2025-12-01,BRES,74
2025-12-01,CALANDRETA DAU CHIVALET,83
2025-12-01,CALANDRETA DAU CLAPAS,162
2025-12-01,CALLAS,105
2025-12-01,CAMOENS,49
2025-12-01,CANDOLA,82
2025-12-01,CERVANTES,47
2025-12-01,CHAPLIN,129
2025-12-01,CHAPTAL,88
2025-12-01,CHARLES BAUDELAIRE,171
2025-12-01,CHARLES DICKENS ANNE FRANK,303
2025-12-01,CHENGDU,149
2025-12-01,COCTEAU,85
2025-12-01,CONDORCET,161
2025-12-01,COPERNIC,38
2025-12-01,DAUDET,119
2025-12-01,DAVILER KERGOMARD,273
2025-12-01,DEROIN,112
2025-12-01,DIDEROT,139
2025-12-01,DOCTEUR CALMETTE,160
2025-12-01,DURUY,42
2025-12-01,ELUARD,76
2025-12-01,EMILE COMBES,58
2025-12-01,EUGENE POTTIER JEAN SIBELIUS,255
2025-12-01,F D ROOSEVELT,83
2025-12-01,FIGUIER,87
2025-12-01,FLORIAN,81
2025-12-01,FRANCOIS MITTERRAND,191
2025-12-01,FREDERIC BAZILLE,19
2025-12-01,GALILEE,70
2025-12-01,GAMA,72
2025-12-01,GAMBETTA,83
2025-12-01,GANDHI,20
2025-12-01,GARIBALDI,136
2025-12-01,GARNIER,66
2025-12-01,GEORGES SIMENON,155
2025-12-01,GERMAINE RICHIER,271
2025-12-01,GOETHE,59
2025-12-01,HEIDELBERG,107
2025-12-01,HYPATIE,52
2025-12-01,ISAAC SCHOLL,110
2025-12-01,JACQUES BREL,188
2025-12-01,JEAN JAURES,177
2025-12-01,JEAN MACE,128
2025-12-01,JEAN MERMOZ,140
2025-12-01,JEAN MOULIN,120
2025-12-01,JEAN ZAY,93
2025-12-01,JEANNE D ARC,101
2025-12-01,JEANNE MOREAU,168
2025-12-01,JOAN MIRO,235
2025-12-01,JOSEPH DELTEIL,118
2025-12-01,JOYCE,44
2025-12-01,JULES FERRY,140
2025-12-01,JULES SIMON,162
2025-12-01,JULES VERNE,100
2025-12-01,JULIE DAUBIE,166
2025-12-01,KIPLING,70
2025-12-01,LAFONTAINE,77
2025-12-01,LAMARTINE,84
2025-12-01,LEO MALET,199
2025-12-01,LEOPOLD SEDAR SENGHOR,100
2025-12-01,LOUIS ARMSTRONG,124
2025-12-01,LOUISVILLE,80
2025-12-01,LUDWIG VAN BEETHOVEN,341
2025-12-01,LUTHERKING,42
2025-12-01,MADAME DE SEVIGNE,122
2025-12-01,MARC BLOCH,111
2025-12-01,MARGUERITTE YOURCENAR,171
2025-12-01,MARIE CURIE,188
2025-12-01,MARIE PAPE CARPENTIER,143
2025-12-01,MICHEL DE L HOSPITAL,275
2025-12-01,MICHELET,58
2025-12-01,MORISOT MOZART,278
2025-12-01,NERUDA,29
2025-12-01,OLYMPE DE GOUGES,225
2025-12-01,PAGNOL,104
2025-12-01,PASTEUR,41
